Vollcode,aggregatie,Naam,code
"M28d","Buurt 2015","Oosterparkbuurt Zuidwest","28d"
"M58b","Buurt 2015","Weespertrekvaart","58b"
"K90i","Buurt 2015","Buitenveldert West Midden","90i"
"F89c","Buurt 2015","Staalmanbuurt","89c"
"E20b","Buurt 2015","WG-terrein","20b"
"A07e","Buurt 2015","Weteringbuurt","07e"
"A07d","Buurt 2015","Leidsebuurt Zuidoost","07d"
"K46d","Buurt 2015","Vondelpark West","46d"
"A06i","Buurt 2015","Groenmarktkadebuurt","06i"
"K52c","Buurt 2015","Scheldebuurt Midden","52c"
"A06l","Buurt 2015","Anjeliersbuurt Zuid","06l"
"K47g","Buurt 2015","Harmoniehofbuurt","47g"
"A03e","Buurt 2015","Rembrandtpleinbuurt","03e"
"A06e","Buurt 2015","Zaagpoortbuurt","06e"
"N69a","Buurt 2015","Rode Kruisbuurt","69a"
"F79a","Buurt 2015","Osdorper Binnenpolder","79a"
"M58j","Buurt 2015","Amstelkwartier West","58j"
"K48c","Buurt 2015","Marathonbuurt West","48c"
"A02a","Buurt 2015","Langestraat e.o.","02a"
"N70c","Buurt 2015","Banne Noordwest","70c"
"N71e","Buurt 2015","Cornelis Douwesterrein","71e"
"E75a","Buurt 2015","Kortenaerkwartier","75a"
"E15b","Buurt 2015","Markthallen","15b"
"B10f","Buurt 2015","Amerikahaven","10f"
"A06j","Buurt 2015","Marnixbuurt Zuid","06j"
"M34d","Buurt 2015","Zeeburgereiland Zuidwest","34d"
"B10g","Buurt 2015","Afrikahaven","10g"
"F86e","Buurt 2015","Johan Jongkindbuurt","86e"
"F80c","Buurt 2015","Bedrijvenpark Lutkemeer","80c"
"N74b","Buurt 2015","Elzenhagen Zuid","74b"
"M57b","Buurt 2015","Nieuwe Oosterbegraafplaats","57b"
"T96d","Buurt 2015","Gaasperdam Noord","96d"
"A04f","Buurt 2015","Uilenburg","04f"
"E36a","Buurt 2015","Woon- en Groengebied Sloterdijk","36a"
"A06g","Buurt 2015","Elandsgrachtbuurt","06g"
"M32c","Buurt 2015","Zeeburgerdijk Oost","32c"
"E43b","Buurt 2015","Postjeskade e.o.","43b"
"E19a","Buurt 2015","Da Costabuurt Zuid","19a"
"N68e","Buurt 2015","Markengouw Zuid","68e"
"A07g","Buurt 2015","Utrechtsebuurt Zuid","07g"
"M56b","Buurt 2015","Middenmeer Noord","56b"
"M56e","Buurt 2015","Sportpark Middenmeer Noord","56e"
"F77c","Buurt 2015","Buurt 4 Oost","77c"
"E40c","Buurt 2015","Pieter van der Doesbuurt","40c"
"E19c","Buurt 2015","Lootsbuurt","19c"
"A01e","Buurt 2015","Nieuwe Kerk e.o.","01e"
"A02d","Buurt 2015","Leidsegracht Noord","02d"
"M55i","Buurt 2015","Van der Kunbuurt","55i"
"K47c","Buurt 2015","Concertgebouwbuurt","47c"
"E18b","Buurt 2015","Bellamybuurt Zuid","18b"
"F85a","Buurt 2015","Oostoever Sloterplas","85a"
"E39a","Buurt 2015","Robert Scottbuurt West","39a"
"N70e","Buurt 2015","Buiksloterbreek","70e"
"N69l","Buurt 2015","De Kleine Wereld","69l"
"A04h","Buurt 2015","Zuiderkerkbuurt","04h"
"K90c","Buurt 2015","Buitenveldert Midden Zuid","90c"
"N66f","Buurt 2015","Molenwijk","66f"
"T94a","Buurt 2015","E-buurt","94a"
"T96f","Buurt 2015","Reigersbos Midden","96f"
"N73f","Buurt 2015","Ransdorp","73f"
"T93i","Buurt 2015","Huntum","93i"
"K54d","Buurt 2015","Rijnbuurt West","54d"
"K25b","Buurt 2015","Van der Helstpleinbuurt","25b"
"E14d","Buurt 2015","Fannius Scholtenbuurt","14d"
"B10a","Buurt 2015","Coenhaven/Mercuriushaven","10a"
"M56f","Buurt 2015","Park de Meer","56f"
"A05d","Buurt 2015","Westelijke eilanden","05d"
"F11e","Buurt 2015","De Heining","11e"
"K24b","Buurt 2015","Gerard Doubuurt","24b"
"T94i","Buurt 2015","Grunder/Koningshoef","94i"
"E40a","Buurt 2015","Geuzenhofbuurt","40a"
"N61a","Buurt 2015","IJplein e.o.","61a"
"K90e","Buurt 2015","Amsterdamse Bos","90e"
"K44e","Buurt 2015","Legmeerpleinbuurt","44e"
"A03f","Buurt 2015","Reguliersbuurt","03f"
"N60c","Buurt 2015","Bloemenbuurt Noord","60c"
"E38c","Buurt 2015","Erasmusparkbuurt West","38c"
"N70a","Buurt 2015","Banne Zuidwest","70a"
"F88b","Buurt 2015","Park Haagseweg","88b"
"F77b","Buurt 2015","Noordoever Sloterplas","77b"
"K48f","Buurt 2015","Van Tuyllbuurt","48f"
"T92a","Buurt 2015","Hoofdcentrum Zuidoost","92a"
"K90d","Buurt 2015","Buitenveldert Zuidwest","90d"
"F83b","Buurt 2015","Bedrijvencentrum Osdorp","83b"
"E21a","Buurt 2015","Cremerbuurt West","21a"
"N74a","Buurt 2015","Nintemanterrein","74a"
"E37d","Buurt 2015","Landlust Zuid","37d"
"K23b","Buurt 2015","RAI","23b"
"A07c","Buurt 2015","Leidsebuurt Noordoost","07c"
"N61d","Buurt 2015","Vliegenbos","61d"
"A01f","Buurt 2015","Spuistraat Zuid","01f"
"A00c","Buurt 2015","Burgwallen Oost","00c"
"F86c","Buurt 2015","Rembrandtpark Noord","86c"
"T94c","Buurt 2015","Bijlmermuseum Noord","94c"
"K49d","Buurt 2015","Minervabuurt Noord","49d"
"E19b","Buurt 2015","Borgerbuurt","19b"
"F83a","Buurt 2015","De Punt","83a"
"F82b","Buurt 2015","Osdorp Midden Zuid","82b"
"A03a","Buurt 2015","Spiegelbuurt","03a"
"A01b","Buurt 2015","Hemelrijk","01b"
"M51a","Buurt 2015","Rieteiland Oost","51a"
"K26b","Buurt 2015","Burgemeester Tellegenbuurt Oost","26b"
"B10b","Buurt 2015","Alfa-driehoek","10b"
"K59a","Buurt 2015","Prinses Irenebuurt","59a"
"E13c","Buurt 2015","Spaarndammerbuurt Zuidoost","13c"
"E16b","Buurt 2015","Frederik Hendrikbuurt Zuidoost","16b"
"F86b","Buurt 2015","Overtoomse Veld Zuid","86b"
"T97a","Buurt 2015","Gein Noordwest","97a"
"K44d","Buurt 2015","Aalsmeerwegbuurt Oost","44d"
"A04b","Buurt 2015","Scheepvaarthuisbuurt","04b"
"F11d","Buurt 2015","Sloterdijk III West","11d"
"F77d","Buurt 2015","Buurt 5 Noord","77d"
"E17a","Buurt 2015","Da Costabuurt Noord","17a"
"M51c","Buurt 2015","Haveneiland Noord","51c"
"M55b","Buurt 2015","De Eenhoorn","55b"
"T93h","Buurt 2015","Hakfort/Huigenbos","93h"
"N64e","Buurt 2015","Nieuwendammerdijk Zuid","64e"
"E39d","Buurt 2015","Kolenkitbuurt Noord","39d"
"E43a","Buurt 2015","Paramariboplein e.o.","43a"
"N65b","Buurt 2015","Tuindorp Oostzaan Oost","65b"
"N72b","Buurt 2015","Zamenhofstraat e.o.","72b"
"N73b","Buurt 2015","Schellingwoude Oost","73b"
"N71g","Buurt 2015","Buiksloterham","71g"
"A04c","Buurt 2015","Rapenburg","04c"
"M58i","Buurt 2015","Amstelkwartier Zuid","58i"
"N73i","Buurt 2015","Noorderstrook West","73i"
"K25c","Buurt 2015","Lizzy Ansinghbuurt","25c"
"K47i","Buurt 2015","Vondelpark Oost","47i"
"N69j","Buurt 2015","Buikslotermeerplein","69j"
"K44f","Buurt 2015","Bedrijventerrein Schinkel","44f"
"K47b","Buurt 2015","P.C. Hooftbuurt","47b"
"E41a","Buurt 2015","John Franklinbuurt","41a"
"M33j","Buurt 2015","Bedrijvengebied Cruquiusweg","33j"
"A07f","Buurt 2015","Den Texbuurt","07f"
"E15d","Buurt 2015","Marcanti","15d"
"K52a","Buurt 2015","Wielingenbuurt","52a"
"K47j","Buurt 2015","Duivelseiland","47j"
"A04e","Buurt 2015","Nieuwmarkt","04e"
"K26c","Buurt 2015","Burgemeester Tellegenbuurt West","26c"
"F88g","Buurt 2015","Belgiëplein e.o.","88g"
"E16c","Buurt 2015","Frederik Hendrikbuurt Zuidwest","16c"
"E13g","Buurt 2015","Westergasfabriek","13g"
"N73j","Buurt 2015","Noorderstrook Oost","73j"
"F77a","Buurt 2015","Slotermeer Zuid","77a"
"E20c","Buurt 2015","Cremerbuurt Oost","20c"
"A06a","Buurt 2015","Driehoekbuurt","06a"
"A00d","Buurt 2015","Nes e.o.","00d"
"F84a","Buurt 2015","Middelveldsche Akerpolder","84a"
"T94d","Buurt 2015","Kortvoort","94d"
"A01h","Buurt 2015","Kalverdriehoek","01h"
"K24c","Buurt 2015","Frans Halsbuurt","24c"
"E41c","Buurt 2015","Orteliusbuurt Noord","41c"
"T94b","Buurt 2015","G-buurt West","94b"
"T96e","Buurt 2015","Gaasperdam Zuid","96e"
"N62b","Buurt 2015","Tuindorp Nieuwendam Oost","62b"
"A02b","Buurt 2015","Leliegracht e.o.","02b"
"N68f","Buurt 2015","Werengouw Zuid","68f"
"E21b","Buurt 2015","Vondelparkbuurt West","21b"
"T93g","Buurt 2015","Rechte H-buurt","93g"
"F77e","Buurt 2015","Sloterpark","77e"
"E12b","Buurt 2015","Houthavens Oost","12b"
"A04g","Buurt 2015","Valkenburg","04g"
"M56h","Buurt 2015","Science Park Noord","56h"
"E39b","Buurt 2015","Laan van Spartaan","39b"
"F11j","Buurt 2015","Bretten West","11j"
"M55c","Buurt 2015","Julianapark","55c"
"E15a","Buurt 2015","Ecowijk","15a"
"M56g","Buurt 2015","Sportpark Voorland","56g"
"M35c","Buurt 2015","Haveneiland Zuidwest/Rieteiland West","35c"
"E42a","Buurt 2015","Balboaplein e.o.","42a"
"F88a","Buurt 2015","Riekerpolder","88a"
"A05b","Buurt 2015","Haarlemmerbuurt Oost","05b"
"E37g","Buurt 2015","Landlust Noord","37g"
"A00b","Buurt 2015","Oude Kerk e.o.","00b"
"K52d","Buurt 2015","Scheldebuurt Oost","52d"
"F80a","Buurt 2015","Ookmeer","80a"
"T94l","Buurt 2015","Bijlmerpark Oost","94l"
"M50f","Buurt 2015","Buiteneiland","50f"
"N67b","Buurt 2015","Twiske Oost","67b"
"N70b","Buurt 2015","Banne Zuidoost","70b"
"M58h","Buurt 2015","De Omval","58h"
"N69k","Buurt 2015","Plan van Gool","69k"
"K47d","Buurt 2015","Cornelis Schuytbuurt","47d"
"N61c","Buurt 2015","Vogelbuurt Noord","61c"
"K54b","Buurt 2015","Rijnbuurt Oost","54b"
"K49e","Buurt 2015","Minervabuurt Midden","49e"
"M50b","Buurt 2015","Middeneiland Zuidoost","50b"
"E22a","Buurt 2015","Vondelparkbuurt Oost","22a"
"E37c","Buurt 2015","Bosleeuw","37c"
"F89a","Buurt 2015","Louis Chrispijnbuurt","89a"
"N63a","Buurt 2015","Blauwe Zand","63a"
"N68d","Buurt 2015","Markengouw Midden","68d"
"K90j","Buurt 2015","Zuiderhof","90j"
"F11h","Buurt 2015","Bretten Oost","11h"
"N73c","Buurt 2015","Schellingwoude Noord","73c"
"M58e","Buurt 2015","Amstelglorie","58e"
"A07a","Buurt 2015","Leidsebuurt Noordwest","07a"
"A07b","Buurt 2015","Leidsebuurt Zuidwest","07b"
"E14","Buurtcombinatie 2015","Staatsliedenbuurt","14"
"E17","Buurtcombinatie 2015","Da Costabuurt","17"
"A00","Buurtcombinatie 2015","Burgwallen-Oude Zijde","00"
"A03","Buurtcombinatie 2015","Grachtengordel-Zuid","03"
"A04","Buurtcombinatie 2015","Nieuwmarkt/Lastage","04"
"A05","Buurtcombinatie 2015","Haarlemmerbuurt","05"
"A07","Buurtcombinatie 2015","De Weteringschans","07"
"E41","Buurtcombinatie 2015","Van Galenbuurt","41"
"E42","Buurtcombinatie 2015","Hoofdweg e.o.","42"
"E21","Buurtcombinatie 2015","Overtoomse Sluis","21"
"E43","Buurtcombinatie 2015","Westindische Buurt","43"
